experiment,method,row,column,k,C,noise_level,n_radial,n_angular_requested,n_per_axis,n_geometries,requested_measure_dirs,candidate_count,data_mode,data_source,shape,farfield_error_vs_analytic,qhat_error_vs_analytic,component_qhat_error_vs_analytic,data_norm,data_max_abs,polarimetric_J,polarimetric_rank_min,polarimetric_sigma_min_min,polarimetric_sigma_min_median,polarimetric_condition_median,polarimetric_condition_max,vie_voxel_nodes,vie_unknowns,vie_unique_incident_directions,vie_rhs_count,vie_residual_sample_count,vie_linear_residual_sample_max,case_id,K,ell_max,n_modes_per_ell,epsilon,N_cap,N_cap_theory,N_cap_discrete,N_cap_hard,retained_N,retained_multiplets,partial_multiplets,support,target_nodes,p_nodes,mock_distance_mean,mock_distance_max,mock_distance_p95,total_modes,retained_modes,retained_ratio,retained_ell_max,retained_n_max,alpha_max,alpha_min_retained,alpha_median_retained,target_nodes_per_total_modes,target_nodes_per_retained_modes,gram_offdiag_ratio,gram_cond,projection_branch,regularization,coeff_norm,coeff_max_abs,image_min,image_max,image_max_abs,image_l2,background_mean_abs,background_p95_abs,target_mean_abs,target_p95_abs,basis_modes,basis_mode_fraction,basis_mode_cap,basis_mode_hard_cap,fourier_modes,fourier_candidate_modes,fourier_index_linf,fourier_radius_max,bandwidth_factor,lstsq_rank,lstsq_rcond,lstsq_sigma_max,lstsq_sigma_min,lstsq_cond,lstsq_residual_norm,lstsq_weighted_residual_norm,lstsq_residual_count,bessel_modes,bessel_candidate_modes,bessel_ell_max,bessel_n_max,bessel_rho_max,dsm_nodes,dsm_normalized,dsm_raw_max,dsm_raw_l2
4,gpswf,0,0,8.0,16.0,0.2,8,86,13,6,434,24,mock,full_vie,three_blocks_gap_0.20,,,,1.1447627756644494,0.11028601279553285,6,9,0.1260590111776668,0.6612619518489513,3.3456672257063813,18.904399611872204,1189,3567,433,866,6,1.9475080464646448e-16,k8_gpswf,28.0,7.0,3.0,0.2,114.0,128.0,114.0,512.0,109.0,17.0,0.0,unit_ball,688,688,0.03673826117457024,0.08163620217310424,0.06283775433055262,192,109,0.5677083333333334,7.0,2.0,0.24608765539669034,0.24451910942245342,0.2460347573969173,3.5833333333333335,6.3119266055045875,0.0005211911152055657,1.0150245371143942,diagonal,6.042383710971336e-12,0.22883326064478327,0.14166928028044604,-0.11543683500420511,0.6750975862505073,0.9684569506955076,27.86205742446768,0.07221648561109532,0.23644762179897824,0.5240181669722609,0.8742239067048571,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cube_fourier,0,1,8.0,16.0,0.2,8,86,13,6,434,24,mock,full_vie,three_blocks_gap_0.20,,,,1.1447627756644494,0.11028601279553285,6,9,0.1260590111776668,0.6612619518489513,3.3456672257063813,18.904399611872204,1189,3567,433,866,6,1.9475080464646448e-16,k8_fourier,,,,,,,,,,,,cube_half_side_1,688,688,,,,130,130,,,,,,,,,,,,,0.06085250534062163,0.012379863995391422,-0.05804939436438851,0.38867327680045943,0.4714235518180754,19.62567472253499,0.057749439687264995,0.24602279729103968,0.2751227941152828,0.45274841155170614,130.0,1.2,130.0,512.0,130.0,515.0,3.0,9.934588265796101,2.0,130.0,1e-08,1.030206999650914,0.23757187780957945,4.336401299469687,0.5507230768165333,0.047792521465052334,1.0,,,,,,,,,
4,ball_bessel,0,2,8.0,16.0,0.2,8,86,13,6,434,24,mock,full_vie,three_blocks_gap_0.20,,,,1.1447627756644494,0.11028601279553285,6,9,0.1260590111776668,0.6612619518489513,3.3456672257063813,18.904399611872204,1189,3567,433,866,6,1.9475080464646448e-16,k8_bessel,,,,,,,,,,,,unit_ball,688,688,,,,130,130,,,,,,,,,,,,,0.2308152721679466,0.10836486214534988,-0.15924067917251059,0.6885864880567055,0.9363293234948534,28.119459127727666,0.08475230232195709,0.2580088079917314,0.5100238515862444,0.8490741961512284,130.0,1.2,130.0,512.0,,,,,2.0,127.0,1e-08,0.725698948137083,2.0671146863239328e-16,3510685463841557.0,0.3863559170722415,0.0289447343684147,0.0,130.0,220.0,8.0,4.0,13.698023153249418,,,,
4,dsm,0,3,8.0,16.0,0.2,8,86,13,6,434,24,mock,full_vie,three_blocks_gap_0.20,,,,1.1447627756644494,0.11028601279553285,6,9,0.1260590111776668,0.6612619518489513,3.3456672257063813,18.904399611872204,1189,3567,433,866,6,1.9475080464646448e-16,k8_dsm,,,,,,,,,,,,unit_ball,688,688,,,,688,688,,,,,,,,,,,,,0.0050411543938851935,0.0005881946235689493,0.0,1.1639641317497718,1.1639641317497718,33.199269912162364,0.1003199607385453,0.2527762614014476,0.6196188645836515,1.0287474979631792,688.0,,,,,,,,,,,,,,,,,,,,,,688.0,1.0,0.06637839247749523,2.039711840840482
4,gpswf,1,0,12.0,24.0,0.2,10,170,19,6,770,24,mock,full_vie,three_blocks_gap_0.20,,,,0.8078710647528049,0.06267026199491461,6,9,0.10925360495634108,0.5846870497816934,3.836513545452042,21.96514013452619,3695,11085,770,1540,6,2.290348480929943e-16,k12_gpswf,40.0,9.0,5.0,0.2,283.0,288.0,283.0,512.0,283.0,35.0,0.0,unit_ball,1700,1700,0.02468388339801719,0.06856985582993344,0.0386674242755042,500,283,0.566,9.0,4.0,0.13395315282945439,0.13389867455709745,0.1339530848626963,3.4,6.007067137809187,0.01828213781581837,1.3362057396543083,solve,1.7937980448577879e-12,0.1682308769190497,0.08137134039939008,-0.10847398808551331,0.6615700445601035,0.9868485485914632,24.88022849035298,0.042416323446077486,0.17037002713968483,0.47479403833147593,0.8188518486699916,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cube_fourier,1,1,12.0,24.0,0.2,10,170,19,6,770,24,mock,full_vie,three_blocks_gap_0.20,,,,0.8078710647528049,0.06267026199491461,6,9,0.10925360495634108,0.5846870497816934,3.836513545452042,21.96514013452619,3695,11085,770,1540,6,2.290348480929943e-16,k12_fourier,,,,,,,,,,,,cube_half_side_1,1700,1700,,,,339,339,,,,,,,,,,,,,0.056636772082303985,0.02319539343495886,-0.05640155670953239,0.37721567725550625,0.5033800788454069,19.45466868113891,0.05408403433584534,0.17507625306393462,0.34558658495959466,0.4657587901785138,339.0,1.2,339.0,512.0,339.0,1863.0,4.0,13.328648814475098,2.0,339.0,1e-08,0.547094226093386,0.03933725266698217,13.907789410839843,0.32277135135474433,0.016320983972627275,1.0,,,,,,,,,
4,ball_bessel,1,2,12.0,24.0,0.2,10,170,19,6,770,24,mock,full_vie,three_blocks_gap_0.20,,,,0.8078710647528049,0.06267026199491461,6,9,0.10925360495634108,0.5846870497816934,3.836513545452042,21.96514013452619,3695,11085,770,1540,6,2.290348480929943e-16,k12_bessel,,,,,,,,,,,,unit_ball,1700,1700,,,,339,339,,,,,,,,,,,,,0.2127384301868923,0.07317635262366677,-0.27126138638431435,0.5975461572551581,0.8369714056349917,26.106847747392152,0.07913491884797712,0.21321205258732134,0.4702123624329971,0.7726063933182027,339.0,1.2,339.0,512.0,,,,,2.0,339.0,1e-08,0.4294354530344716,0.0015659872878674241,274.22665328227583,0.24839836919139863,0.010833867706629245,1.0,339.0,867.0,12.0,5.0,18.30125595954199,,,,
4,dsm,1,3,12.0,24.0,0.2,10,170,19,6,770,24,mock,full_vie,three_blocks_gap_0.20,,,,0.8078710647528049,0.06267026199491461,6,9,0.10925360495634108,0.5846870497816934,3.836513545452042,21.96514013452619,3695,11085,770,1540,6,2.290348480929943e-16,k12_dsm,,,,,,,,,,,,unit_ball,1700,1700,,,,1700,1700,,,,,,,,,,,,,0.0011411938352100324,8.370109229768137e-05,0.0,1.1639641317497718,1.1639641317497718,29.79886913570592,0.08346358893198799,0.23085620167948523,0.5409889003474369,0.9199230218120857,1700.0,,,,,,,,,,,,,,,,,,,,,,1700.0,1.0,0.017447346409359642,0.4692968036956996
4,gpswf,2,0,15.0,30.0,0.2,12,230,23,6,974,24,mock,full_vie,three_blocks_gap_0.20,,,,0.8123050299871307,0.05280678669969768,6,9,0.06970196290350264,0.6098931128107531,3.6886102290060756,34.58810285326997,6403,19209,974,1948,6,2.5862405495479705e-16,k15_gpswf,48.0,12.0,7.0,0.2,450.0,450.0,604.0,512.0,450.0,46.0,0.0,unit_ball,3624,3624,0.02200811759005034,0.05398623321855479,0.0359066820964623,1183,450,0.3803888419273035,12.0,5.0,0.0958490737686651,0.09584891017496253,0.09584907362628241,3.063398140321217,8.053333333333333,0.01774703632849671,1.518442455320234,solve,9.19341302176628e-13,0.14266581703202874,0.048763539515929696,-0.1768207621534615,0.5197396167178673,0.7498110030662998,22.904345101127657,0.041884091111655815,0.17505273561902512,0.4375515191725016,0.6911703114433603,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cube_fourier,2,1,15.0,30.0,0.2,12,230,23,6,974,24,mock,full_vie,three_blocks_gap_0.20,,,,0.8123050299871307,0.05280678669969768,6,9,0.06970196290350264,0.6098931128107531,3.6886102290060756,34.58810285326997,6403,19209,974,1948,6,2.5862405495479705e-16,k15_fourier,,,,,,,,,,,,cube_half_side_1,3624,3624,,,,512,512,,,,,,,,,,,,,0.04869635912874011,0.01300961678645569,-0.06741178051752347,0.42724861893724514,0.6710969512601536,19.135350912266848,0.041705752983518654,0.1224987274910851,0.35823231885048124,0.6092586391584939,512.0,1.2,512.0,512.0,512.0,3743.0,5.0,15.707963267948966,2.0,512.0,1e-08,0.3773667503838715,0.019096337392408604,19.761210887166598,0.36910774098103283,0.011537986079920131,1.0,,,,,,,,,
